,lat,lon,max_temp,humidity,wind_speed,cloudiness,country,date,name
167,43.7168,19.7,44.31,93,2.48,74,RS,1665364986,Zlatibor
168,-12.2333,136.7667,86.61,66,17.27,75,AU,1665364987,Nhulunbuy
169,13.9553,7.6712,86.05,20,8.79,10,NE,1665364987,Mayahi
170,-16.7833,-151.5,78.57,73,16.71,3,PF,1665364988,Tevaitoa
171,-16.4833,-151.75,78.76,73,16.87,8,PF,1665364988,Faanui
172,-33.918,25.5701,63.1,99,5.75,100,ZA,1665364989,Port Elizabeth
173,39.1672,8.5222,61.74,85,2.44,85,IT,1665364990,Carbonia
174,10.9995,122.6711,83.68,76,4.74,93,PH,1665364990,Dingle
175,38.4362,57.4316,60.26,31,9.71,0,TM,1665364990,Baharly
176,-4.05,19.5333,69.4,95,1.88,100,CD,1665364991,Mangai
177,-6.4333,39.55,75.25,74,16.46,53,TZ,1665364991,Sokoni
178,65.6145,-37.6368,26.02,92,8.48,100,GL,1665364991,Tasiilaq
179,-21.95,27.9,70.75,28,5.01,0,BW,1665364992,Tobane
180,6.8667,38.45,57.6,92,2.71,100,ET,1665364992,Leku
181,-0.2167,20.8667,69.28,100,1.88,100,CD,1665364993,Boende
182,-24.7911,-50.0119,60.03,97,11.03,100,BR,1665364993,Castro
183,-30.3875,-56.4514,47.25,71,8.88,3,BR,1665364993,Quaraí
184,2.9845,99.6158,76.87,92,1.66,100,ID,1665364994,Kisaran
185,-22.0866,-65.5942,40.95,41,4.52,0,BO,1665364994,Villazón
186,-22.116,14.2845,59.18,95,7.7,97,NA,1665364994,Henties Bay
187,34.9833,139.8667,77.4,87,24.45,94,JP,1665364995,Tateyama
188,69.3,139.9,12.6,93,4.7,100,RU,1665364995,Deputatsky
189,37.7167,-25.4333,73.2,92,6.42,44,PT,1665364995,Vila Franca do Campo
190,-33.0117,17.9442,55.45,79,7.87,100,ZA,1665364996,Saldanha
191,29.0331,21.5482,67.57,52,7.16,0,LY,1665364996,Jalu
192,-14.9167,-70.2167,49.21,54,5.91,72,PE,1665364996,Azángaro
193,8.2,-59.7833,77.54,88,4.25,100,GY,1665364997,Mabaruma
194,21.3469,-158.0858,82.8,58,11.5,0,US,1665364997,Makakilo City
195,68.75,161.3,20.53,92,17.69,100,RU,1665364998,Cherskiy
196,0.2842,34.7523,58.89,83,5.48,80,KE,1665364998,Kakamega
197,-30.1811,-50.2056,55.4,64,9.57,100,BR,1665364998,Cidreira
198,40.626,14.3744,65.07,90,10.42,100,IT,1665364999,Sorrento
199,42.3394,-3.7079,59.41,58,6.91,0,ES,1665364829,Burgos
200,-23.4923,-58.7972,56.5,57,7.2,99,PY,1665365000,Pozo Colorado
201,-4.9667,39.8333,73.49,84,11.9,17,TZ,1665365000,Micheweni
202,20.8667,-90.4,80.47,79,17.25,36,MX,1665364879,Celestún
203,4.1363,96.1285,78.1,81,2.95,95,ID,1665365001,Meulaboh
204,-19.8,-174.35,75.97,82,21.92,100,TO,1665365001,Pangai
205,60.7167,-46.0333,37.47,96,6.8,100,GL,1665365001,Qaqortoq
206,55.1333,-7.45,49.46,76,19.33,29,IE,1665365002,Buncrana
207,46.6166,10.7002,52.86,95,3.18,100,IT,1665365002,Laas
208,37.2711,-87.1764,47.62,80,0.0,0,US,1665365003,Morehead
209,57.4129,-6.1942,49.51,83,20.13,42,GB,1665365003,Portree
210,64.7507,20.9528,44.01,99,3.44,40,SE,1665365003,Skellefteå
211,-11.7833,19.9167,57.83,30,2.06,5,AO,1665365004,Luena
212,42.7762,-9.0603,60.44,93,11.21,100,ES,1665365004,Muros
213,17.0151,54.0924,73.45,65,1.3,99,OM,1665365005,Salalah
214,68.5646,14.9108,48.18,93,6.91,100,NO,1665365005,Stokmarknes
215,63.4427,-20.2734,38.7,66,33.24,6,IS,1665365005,Vestmannaeyjar
216,56.1725,107.4458,36.12,69,4.23,90,RU,1665365006,Magistral'nyy
217,-38.9516,-68.0591,53.49,43,0.0,0,AR,1665364822,Neuquén
218,60.7522,-137.5108,46.35,46,5.75,41,CA,1665365006,Haines Junction
219,26.326,43.975,68.45,14,7.11,0,SA,1665365007,Buraidah
220,64.2539,-15.2082,41.09,57,26.44,100,IS,1665365007,Hofn
221,49.9811,92.0667,34.95,40,3.09,100,MN,1665365007,Ulaangom
222,67.6803,53.1512,40.06,90,14.97,85,RU,1665365008,Iskateley
223,36.3703,30.2869,71.19,53,5.46,0,TR,1665365008,Kumluca
224,53.1561,103.0675,34.5,71,4.07,100,RU,1665364869,Cheremkhovo
225,71.9167,114.0833,8.19,95,8.95,89,RU,1665365008,Saskylakh
226,13.2167,-59.5167,81.21,83,6.91,20,BB,1665365009,Bathsheba
227,65.4167,-52.9,32.09,54,8.25,100,GL,1665365010,Maniitsoq
228,57.6325,53.0252,44.98,86,10.18,97,RU,1665365010,Fakel
229,21.2833,-89.6667,82.11,82,14.47,90,MX,1665365010,Progreso
230,22.6783,-3.9836,90.93,23,24.56,99,ML,1665365011,Taoudenni
231,-7.7479,112.0132,80.22,80,9.48,100,ID,1665365011,Gondanglegi
232,47.1333,21.7167,48.52,76,6.91,7,HU,1665365011,Biharkeresztes
233,17.9583,-102.2,81.54,81,7.74,18,MX,1665365012,Lázaro Cárdenas
234,34.6667,138.95,68.36,87,15.37,70,JP,1665365012,Shimoda
235,62.2266,-6.589,41.92,77,35.52,99,FO,1665365013,Klaksvík
236,60.0625,71.4789,41.23,96,8.32,100,RU,1665365013,Salym
237,64.9555,34.5793,38.39,87,12.95,3,RU,1665365014,Kem'
238,43.4198,-4.7549,64.35,78,4.21,100,ES,1665365014,Llanes
239,-30.3833,153.1,68.02,64,17.27,100,AU,1665365015,Sawtell
240,67.4667,78.7,39.83,96,12.75,100,RU,1665365015,Tazovsky
241,60.3964,-1.353,49.86,75,28.1,0,GB,1665365015,Brae
242,21.4612,-71.1419,81.82,79,20.0,1,TC,1665365016,Cockburn Town
243,11.2142,123.1655,82.45,75,3.89,58,PH,1665365016,Igbon
244,12.7111,104.8887,76.03,93,2.91,100,KH,1665365016,Kampong Thom
245,26.8865,88.0718,60.46,90,2.75,63,NP,1665365017,Birin
246,27.9117,-15.5407,65.5,78,18.41,20,ES,1665365017,Santa Lucía
247,58.9564,126.2925,34.47,92,8.68,100,RU,1665365017,Tommot
248,52.9041,56.3933,42.75,82,4.9,11,RU,1665365018,Yumaguzino
249,72.7868,-56.1549,11.21,72,5.39,23,GL,1665365018,Upernavik
250,-18.8333,-63.4667,61.54,37,3.74,100,BO,1665365018,Abapó
